destination,DFE,_beta_log_dur
15,1.029756517320211,-2.5468376
24,.9759685627366645,-2.5468376
29,1.308714759317994,-2.5468376
30,.8318270562328952,-2.5468376
32,.8058350810778314,-2.5468376
33,.7578725803153442,-2.5468376
34,.9561496031521364,-2.5468376
35,.8053316554287049,-2.5468376
36,1.3670544666641,-2.5468376
37,-.5289178662438064,-2.5468376
40,.1548256298086841,-2.5468376
41,-.0684690830140967,-2.5468376
42,.563324084124826,-2.5468376
47,1.835726369320849,-2.5468376
48,.4152014899746643,-2.5468376
49,.7829261840678495,-2.5468376
53,1.761856041281161,-2.5468376
55,.3068421333524318,-2.5468376
56,1.603443705874597,-2.5468376
57,.4516759925959407,-2.5468376
58,-.5102295986205255,-2.5468376
60,1.259216042649675,-2.5468376
62,.3366123356472758,-2.5468376
63,.9816489234366308,-2.5468376
64,.485123486104629,-2.5468376
66,.2870408150237176,-2.5468376
67,1.19637979040849,-2.5468376
69,.2095356218772411,-2.5468376
70,.2171833441858032,-2.5468376
72,.0063493307072036,-2.5468376
74,.2616096881026113,-2.5468376
75,-.3388544092444289,-2.5468376
76,.8913721998868066,-2.5468376
77,.5708531279786747,-2.5468376
78,.4026282782524511,-2.5468376
80,.8559142465451031,-2.5468376
81,.0228638981523629,-2.5468376
82,.7553837507846368,-2.5468376
86,1.954641568973936,-2.5468376
87,-1.585329167966177,-2.5468376
88,.5951389073512102,-2.5468376
89,.6569916628738088,-2.5468376
90,.3762805873833374,-2.5468376
91,.8430930719098003,-2.5468376
92,-.6597706799810206,-2.5468376
93,1.267427842519524,-2.5468376
94,-.2117299366874401,-2.5468376
95,.3018760029586606,-2.5468376
96,.206329956733749,-2.5468376
97,-.5593002443650554,-2.5468376
99,1.080012595172684,-2.5468376
100,1.398862596020458,-2.5468376
101,.0886744082380462,-2.5468376
102,.0802485811990134,-2.5468376
104,1.229746000181393,-2.5468376
105,.1266071536176451,-2.5468376
106,1.123928606066608,-2.5468376
107,-1.08377801236224,-2.5468376
108,1.939544869169706,-2.5468376
109,.3938950384467951,-2.5468376
110,-.9195490742668058,-2.5468376
111,.4738994460390955,-2.5468376
112,.8094331779099458,-2.5468376
113,-.3051661793453729,-2.5468376
114,.3304979052821755,-2.5468376
115,.7947561007483449,-2.5468376
116,1.19579925380241,-2.5468376
117,1.381970278749987,-2.5468376
118,.4026081043895583,-2.5468376
119,.028704548082406,-2.5468376
120,1.352584853057626,-2.5468376
121,.4438904991587531,-2.5468376
122,-.3213651695403443,-2.5468376
123,-.4591467063454904,-2.5468376
124,1.075924189801167,-2.5468376
125,1.362324190027606,-2.5468376
126,.6771042393084019,-2.5468376
127,.2391524578903341,-2.5468376
128,-.0680268515242132,-2.5468376
129,1.011400705091707,-2.5468376
130,1.001947664146555,-2.5468376
131,1.572861994033631,-2.5468376
132,1.297416137906715,-2.5468376
133,.868944725810933,-2.5468376
134,.1830683155661632,-2.5468376
135,-.2595608240936368,-2.5468376
136,.4502710953367996,-2.5468376
137,1.330746689946661,-2.5468376
138,.859943478023361,-2.5468376
139,.9678995535938923,-2.5468376
140,.1910807598473716,-2.5468376
141,.6215696951395655,-2.5468376
142,1.155620339261129,-2.5468376
143,-.4764354498947954,-2.5468376
144,-.0938079297413127,-2.5468376
145,.1536203829712675,-2.5468376
146,-1.118340330559828,-2.5468376
147,.4650667707300895,-2.5468376
148,-.8354891624143117,-2.5468376
149,-.1347870724507092,-2.5468376
150,-.8234153466569719,-2.5468376
151,-.5955265968821423,-2.5468376
152,-.7233024205933267,-2.5468376
153,.8019242048541607,-2.5468376
154,.2204271805810561,-2.5468376
155,-.2139162435986749,-2.5468376
156,-1.36025257425374,-2.5468376
157,-.332613403065274,-2.5468376
158,.1408566039014346,-2.5468376
159,-.110513391632109,-2.5468376
160,-.2655516408957333,-2.5468376
161,.0259995057034262,-2.5468376
162,-.9096398017227803,-2.5468376
163,-.3625101446040063,-2.5468376
164,-1.298238257453715,-2.5468376
165,-1.057903001398979,-2.5468376
166,.431562545852948,-2.5468376
167,.9166654806900096,-2.5468376
168,-.6322584354605048,-2.5468376
169,-.1104900729215195,-2.5468376
170,-.3538915931403793,-2.5468376
171,-.9129438127482788,-2.5468376
172,-1.255198531314651,-2.5468376
173,-.5418348523993375,-2.5468376
174,-.2804592377957953,-2.5468376
175,.5769332468439317,-2.5468376
176,-.4006292012306352,-2.5468376
177,-1.888511043439028,-2.5468376
178,-.0801119277042186,-2.5468376
179,-.3943088376620261,-2.5468376
180,1.502673565642928,-2.5468376
181,.0121981240325254,-2.5468376
182,-.9946626748702143,-2.5468376
183,-1.541968493803685,-2.5468376
184,-1.541885026323633,-2.5468376
185,-.7895012744499743,-2.5468376
186,-.7006406965533133,-2.5468376
187,-.918247843999757,-2.5468376
188,-1.604077605641125,-2.5468376
189,.2636913059969984,-2.5468376
190,-.4178763065223052,-2.5468376
191,-.5233230063560012,-2.5468376
192,.4300532692856896,-2.5468376
193,-.6336485286148787,-2.5468376
194,-.0658396814496105,-2.5468376
195,1.213327938532481,-2.5468376
196,.8132266514388471,-2.5468376
197,-.089278023894116,-2.5468376
198,-1.36987304170848,-2.5468376
199,-.4148578687241875,-2.5468376
200,-.6201037184818576,-2.5468376
201,-.1594340410196871,-2.5468376
202,-.1460626262808714,-2.5468376
203,.7905251448976037,-2.5468376
204,-.9923654408052618,-2.5468376
205,-1.26393728626888,-2.5468376
206,-1.285813237858608,-2.5468376
207,-.7994399528433989,-2.5468376
208,-1.507230232896148,-2.5468376
209,-.3510684575081544,-2.5468376
210,-.539961269221876,-2.5468376
211,-1.427239732499205,-2.5468376
212,.2106133611201489,-2.5468376
213,-.0292420262173222,-2.5468376
214,-1.407080176744199,-2.5468376
215,-.7538164603933066,-2.5468376
216,-1.091734433457703,-2.5468376
217,-.3050029675113342,-2.5468376
218,.2418513853387207,-2.5468376
220,-1.135563888742454,-2.5468376
221,-.8732541263094007,-2.5468376
222,.6820538937491958,-2.5468376
223,-.2330841230399614,-2.5468376
224,.7733797954113899,-2.5468376
225,-.7266062462081347,-2.5468376
226,-.2975588499072891,-2.5468376
227,-.4122073019165046,-2.5468376
228,.6357909727605442,-2.5468376
229,.49806400581004,-2.5468376
230,-1.22221277182697,-2.5468376
231,-.9448542728307585,-2.5468376
232,.1169875339155879,-2.5468376
233,2.010361045772297,-2.5468376
234,-1.021555157254236,-2.5468376
235,.5618224336531322,-2.5468376
236,.0399465230516231,-2.5468376
237,1.22200570562037,-2.5468376
238,-.5029611897853002,-2.5468376
239,-.7866458858371614,-2.5468376
240,.8773444304415462,-2.5468376
241,-.7387991125649063,-2.5468376
