destination,_beta_slope_OLS_low,_beta_slope_OLS_high,DFE_OLS_low,DFE_OLS_high
163,-3.7296963,-1.9056849,.35322532,-1.2636801
164,-3.7296963,-1.9056849,-3.1506095,-.89263654
165,-3.7296963,-1.9056849,-4.4231248,-.037998885
166,-3.7296963,-1.9056849,3.4980476,-1.8817663
167,-3.7296963,-1.9056849,.46982089,.69093519
168,-3.7296963,-1.9056849,-.40705281,-1.2883782
169,-3.7296963,-1.9056849,-.79583585,-.73350197
170,-3.7296963,-1.9056849,.18020692,-1.6626699
171,-3.7296963,-1.9056849,-.35285768,-1.7161243
172,-3.7296963,-1.9056849,-3.4582477,-.63746727
173,-3.7296963,-1.9056849,-1.9169352,-.56705481
174,-3.7296963,-1.9056849,-2.625808,-.0037416327
175,-3.7296963,-1.9056849,-.42448151,1.1610734
176,-3.7296963,-1.9056849,-2.1347859,.11760192
177,-3.7296963,-1.9056849,-1.1304543,-2.3553731
178,-3.7296963,-1.9056849,-1.1389486,-.010424046
179,-3.7296963,-1.9056849,-2.0298553,-.20689167
180,-3.7296963,-1.9056849,4.0887127,-.84691501
181,-3.7296963,-1.9056849,-2.0285933,-.31639063
182,-3.7296963,-1.9056849,-1.1164134,-1.3957157
183,-3.7296963,-1.9056849,-5.8724084,-.42219737
184,-3.7296963,-1.9056849,-5.1666255,-.46579304
185,-3.7296963,-1.9056849,-2.5934432,-1.0470988
186,-3.7296963,-1.9056849,2.392694,-1.6585213
187,-3.7296963,-1.9056849,1.2506124,-2.7507384
188,-3.7296963,-1.9056849,-3.8639197,-1.2005913
189,-3.7296963,-1.9056849,1.8950632,-1.477041
190,-3.7296963,-1.9056849,1.2834628,-.058962382
191,-3.7296963,-1.9056849,.94690704,-1.8284289
192,-3.7296963,-1.9056849,-3.6374512,1.7450651
193,-3.7296963,-1.9056849,-3.4483092,.027922476
194,-3.7296963,-1.9056849,2.2912807,-2.0785964
195,-3.7296963,-1.9056849,4.1559587,-.13687441
196,-3.7296963,-1.9056849,3.0603504,-.44237381
197,-3.7296963,-1.9056849,3.1326115,-2.830795
198,-3.7296963,-1.9056849,-5.0003033,-.18067402
199,-3.7296963,-1.9056849,-.77481276,-.89173675
200,-3.7296963,-1.9056849,-2.339081,-.45845696
201,-3.7296963,-1.9056849,.28060973,-.65210205
202,-3.7296963,-1.9056849,-.12945586,-1.2459874
203,-3.7296963,-1.9056849,3.2019689,-.67839301
204,-3.7296963,-1.9056849,-6.0778832,.22239161
205,-3.7296963,-1.9056849,-1.8327584,-2.0076997
206,-3.7296963,-1.9056849,-4.0233746,-.45078731
207,-3.7296963,-1.9056849,-4.0792727,-.1421539
208,-3.7296963,-1.9056849,-.28054506,-2.2780855
209,-3.7296963,-1.9056849,-3.4349654,.44052285
210,-3.7296963,-1.9056849,1.434513,-.95313513
211,-3.7296963,-1.9056849,-1.6306754,-1.9395881
212,-3.7296963,-1.9056849,1.637665,-1.5373591
213,-3.7296963,-1.9056849,-1.5737702,-.11064579
214,-3.7296963,-1.9056849,-3.840369,-1.1222849
215,-3.7296963,-1.9056849,.9268682,-1.8674538
216,-3.7296963,-1.9056849,.40527368,-3.062922
217,-3.7296963,-1.9056849,.1323254,-1.0640513
218,-3.7296963,-1.9056849,.39495817,-.50259042
220,-3.7296963,-1.9056849,-1.6609747,-1.7066841
221,-3.7296963,-1.9056849,-.52609116,-1.4231076
222,-3.7296963,-1.9056849,3.7295713,-.80680531
223,-3.7296963,-1.9056849,.57722217,-1.5421362
224,-3.7296963,-1.9056849,-3.3930926,2.1123068
225,-3.7296963,-1.9056849,-2.9863796,-.50167572
226,-3.7296963,-1.9056849,.57989752,-1.8194259
227,-3.7296963,-1.9056849,-5.1004691,.85899961
228,-3.7296963,-1.9056849,-.74392319,1.4380283
229,-3.7296963,-1.9056849,-2.3072317,1.4638098
