destination,DFE,_beta_log_dur
35,-1.907923863834066,-2.1922336
45,-2.285971011360486,-2.1922336
56,-1.122680735762359,-2.1922336
58,-1.206567386760963,-2.1922336
60,-.5750905575691554,-2.1922336
63,.198518396734789,-2.1922336
64,-.6841438344443017,-2.1922336
68,-.1867868823514297,-2.1922336
69,.9785663917718289,-2.1922336
70,-1.600325661142779,-2.1922336
71,1.452389153536343,-2.1922336
72,-3.911647177338511,-2.1922336
74,-.1566069469943233,-2.1922336
75,-2.097632856421151,-2.1922336
76,-.3175671070525298,-2.1922336
77,.092714013502581,-2.1922336
78,-1.413206315825678,-2.1922336
80,.7450206613120595,-2.1922336
81,.7121345132832698,-2.1922336
82,.958968465402724,-2.1922336
83,-.595078154215918,-2.1922336
84,-1.149267993398605,-2.1922336
85,-2.29477748661914,-2.1922336
86,-2.67874943443326,-2.1922336
87,-1.065394284954357,-2.1922336
88,-.5475272553485948,-2.1922336
89,.5477507109315356,-2.1922336
91,-.5365068744069167,-2.1922336
92,1.35451729811131,-2.1922336
93,-1.392238313105722,-2.1922336
94,-.3239556133297431,-2.1922336
95,-.5509852985257362,-2.1922336
96,-1.139461394695867,-2.1922336
97,-1.832234761630878,-2.1922336
98,.2754233388508888,-2.1922336
99,-.677013366780247,-2.1922336
100,1.189303957303346,-2.1922336
101,.6139366119079244,-2.1922336
102,-.9741034257154324,-2.1922336
103,-2.787101628909632,-2.1922336
104,.1211021496198995,-2.1922336
105,-1.100750696381302,-2.1922336
106,-1.32600835283326,-2.1922336
107,1.011497868357226,-2.1922336
108,1.280095438486331,-2.1922336
109,-1.080412881262886,-2.1922336
110,.4692594096621117,-2.1922336
111,.4121957769180241,-2.1922336
112,-.4817674631391198,-2.1922336
113,-1.757569293195212,-2.1922336
114,1.578008619773106,-2.1922336
115,-1.52416335942239,-2.1922336
116,.8830383397811402,-2.1922336
117,-2.039518500169988,-2.1922336
118,-1.452528206273192,-2.1922336
119,.6105905375756471,-2.1922336
122,-1.154294236391961,-2.1922336
123,.4387766207520664,-2.1922336
124,.7431379491307375,-2.1922336
125,.2203064472531629,-2.1922336
126,.7831655152871297,-2.1922336
127,.2026969622993559,-2.1922336
128,-.8155746456970121,-2.1922336
129,-3.270556511539747,-2.1922336
130,.0364800439833726,-2.1922336
131,.8749088113218567,-2.1922336
133,.7203316483144621,-2.1922336
134,-2.591599950322146,-2.1922336
135,.5814694752108195,-2.1922336
136,-2.328123400646247,-2.1922336
137,1.059790062504874,-2.1922336
138,-.1625548053886727,-2.1922336
139,.0934759721906671,-2.1922336
140,-1.007768903765404,-2.1922336
141,-.732787047973174,-2.1922336
143,-4.422234706205909,-2.1922336
144,-2.436106576377771,-2.1922336
145,1.182513859187017,-2.1922336
146,-.4021919140663782,-2.1922336
147,-1.318904774305356,-2.1922336
148,.3257650158196346,-2.1922336
149,-1.37871306193732,-2.1922336
150,.6271638858848749,-2.1922336
