destination,DFE,_beta_log_dur
35,-2.265357487196666,-2.2222443
45,-2.077734104207662,-2.2222443
56,-.3118381504551022,-2.2222443
58,-1.03015832633194,-2.2222443
60,-.3356811332617627,-2.2222443
63,.3282624621695494,-2.2222443
64,-.4485374458070872,-2.2222443
68,-.144873777824092,-2.2222443
69,.5677299628382033,-2.2222443
70,-1.400851765504807,-2.2222443
71,1.288029488403913,-2.2222443
72,-3.827131996032688,-2.2222443
74,-.0241839118476727,-2.2222443
75,-1.742251011671559,-2.2222443
76,-.0170708846887051,-2.2222443
77,-.7801737422644196,-2.2222443
78,-.9758468327980589,-2.2222443
80,.3728575628394434,-2.2222443
81,.0589423437435575,-2.2222443
82,.9361471663251429,-2.2222443
83,-.6401442883906743,-2.2222443
84,-1.227497543885939,-2.2222443
85,-2.081537960212224,-2.2222443
86,-3.076833975260496,-2.2222443
87,-1.361211582945238,-2.2222443
88,-.4954302167843106,-2.2222443
89,.1124553382013603,-2.2222443
91,-.0527105019830155,-2.2222443
92,.8127010536892574,-2.2222443
93,-1.126491274957362,-2.2222443
94,-1.21320610879628,-2.2222443
95,-.2328218115450451,-2.2222443
96,-1.380131054199942,-2.2222443
97,-2.370281171438942,-2.2222443
98,.1251579033104717,-2.2222443
99,-1.007755659980516,-2.2222443
100,1.009891637075827,-2.2222443
101,.2735623190325889,-2.2222443
102,-.5830205680125602,-2.2222443
103,-1.903834907353508,-2.2222443
104,.0667980433840153,-2.2222443
105,-.8509378472993576,-2.2222443
106,-1.642453454789865,-2.2222443
107,.93684383422992,-2.2222443
108,1.035618362914103,-2.2222443
109,-1.523220969648327,-2.2222443
110,.0562746160429174,-2.2222443
111,.2143397034001701,-2.2222443
112,-1.238836917882593,-2.2222443
113,-2.076256356038942,-2.2222443
114,1.163886956069182,-2.2222443
115,-1.728173922470216,-2.2222443
116,.4163712232566253,-2.2222443
117,-2.128213049256336,-2.2222443
118,-1.724086714669796,-2.2222443
119,.2655065083599852,-2.2222443
122,-1.717621562369151,-2.2222443
123,.2458501618958077,-2.2222443
124,.6942816092584299,-2.2222443
125,-.1626462965055041,-2.2222443
126,.4967120045230504,-2.2222443
127,-.1835168912577078,-2.2222443
128,-.4310244829293419,-2.2222443
129,-3.239666634998748,-2.2222443
130,-.1817027361384808,-2.2222443
131,.6845292726053003,-2.2222443
133,.7280487171778746,-2.2222443
134,-3.057091207195236,-2.2222443
135,.1827418697614441,-2.2222443
136,-2.197675631874518,-2.2222443
137,.7303746926991288,-2.2222443
138,-.6658404585402717,-2.2222443
139,.7019189987460915,-2.2222443
140,-.2937230709671109,-2.2222443
141,-1.018649973413102,-2.2222443
143,-3.676242500285863,-2.2222443
144,-2.832983097302662,-2.2222443
145,.9257023805829063,-2.2222443
146,-.4374409262269863,-2.2222443
147,-.7360426815910034,-2.2222443
148,.1526352583358756,-2.2222443
149,-1.164200433815624,-2.2222443
150,.3240960595152952,-2.2222443
151,1.081968951506575,-2.2222443
152,-1.34518396049137,-2.2222443
153,.6734699534097947,-2.2222443
154,.3007954539835839,-2.2222443
155,.9561941260168341,-2.2222443
156,.4125807701151237,-2.2222443
157,-.4706714896463984,-2.2222443
158,.9254910926270282,-2.2222443
159,.1049858004158157,-2.2222443
160,-1.211418176647811,-2.2222443
161,-1.530883389841502,-2.2222443
162,-.6071552313065107,-2.2222443
163,.6383273577786754,-2.2222443
164,.2133835565395526,-2.2222443
165,.3576261474334869,-2.2222443
166,.4451289420437781,-2.2222443
168,.1699590554734147,-2.2222443
170,-1.335557724205084,-2.2222443
171,.6072038826375531,-2.2222443
172,-.1193358226676104,-2.2222443
173,.9102189794448335,-2.2222443
174,-1.928334908625593,-2.2222443
175,-.6283672273279557,-2.2222443
176,.4281531666687213,-2.2222443
177,-2.171798883463472,-2.2222443
178,-2.723463072061369,-2.2222443
179,-.1366028230562988,-2.2222443
180,.9259848905538028,-2.2222443
181,-.8584207801911589,-2.2222443
182,.0407367832578357,-2.2222443
183,-.2547043180429958,-2.2222443
184,-1.435892693654052,-2.2222443
185,-.1413247075496446,-2.2222443
186,-.9129404677579323,-2.2222443
187,-.6682647033505539,-2.2222443
188,-3.743386447823941,-2.2222443
189,.4999586223544061,-2.2222443
190,-.0749988885078585,-2.2222443
191,.0921859126050779,-2.2222443
192,.7850685182310838,-2.2222443
193,.9808625009574397,-2.2222443
194,-3.382979844154997,-2.2222443
195,.8704137671418865,-2.2222443
196,-1.771152575235691,-2.2222443
197,-.150692886451379,-2.2222443
198,.0414000718567942,-2.2222443
199,-.0892108746818308,-2.2222443
200,-.8900390922023067,-2.2222443
201,-1.029843573832066,-2.2222443
202,.9240826035729583,-2.2222443
203,.3059784407940565,-2.2222443
204,.1571437914458287,-2.2222443
205,-1.079281363127684,-2.2222443
206,-.678894381333769,-2.2222443
207,-1.041798003347702,-2.2222443
208,.773239647913461,-2.2222443
209,-.1373403370395838,-2.2222443
210,-3.766403250974924,-2.2222443
211,-1.718894933698621,-2.2222443
212,-3.307650163515857,-2.2222443
213,.5883605093147665,-2.2222443
214,-.5738584707842708,-2.2222443
215,-.3860368635884954,-2.2222443
216,-1.494683801636513,-2.2222443
217,.0962542657096099,-2.2222443
218,.6901107380746329,-2.2222443
219,-1.035323890613114,-2.2222443
220,-.2640133447241976,-2.2222443
222,-.6798111281832807,-2.2222443
223,1.145676294775365,-2.2222443
224,-.1058817939472544,-2.2222443
225,.0752524451270496,-2.2222443
226,.2013084682973166,-2.2222443
227,.4433546112379259,-2.2222443
228,-1.841843104742799,-2.2222443
229,-.6406640329998915,-2.2222443
230,-1.509484754048271,-2.2222443
231,-.4640753344028255,-2.2222443
232,.1138374708288754,-2.2222443
233,-.5390201238453891,-2.2222443
234,-3.167105291941047,-2.2222443
235,-.4226440254146171,-2.2222443
236,-.2865077092860586,-2.2222443
237,-.3196450765604177,-2.2222443
238,-.5392427789458041,-2.2222443
239,.3780226710040597,-2.2222443
240,-.3371860913006962,-2.2222443
241,-.3507209735370838,-2.2222443
242,-.1223947490265471,-2.2222443
243,.4334866442038918,-2.2222443
244,-1.037932521596999,-2.2222443
245,-.55853780209105,-2.2222443
246,.8858388337372729,-2.2222443
247,-.0934532164358798,-2.2222443
248,1.064165421763635,-2.2222443
249,-.8658443421940201,-2.2222443
250,-1.772510696323956,-2.2222443
251,-2.177933397160946,-2.2222443
252,.2268893470057108,-2.2222443
253,-2.098807801580471,-2.2222443
254,.7517291447309832,-2.2222443
255,-.5348234777896721,-2.2222443
257,-.9979510301435818,-2.2222443
258,-.2691133081330265,-2.2222443
261,.1779367447746425,-2.2222443
262,.1157418357352317,-2.2222443
263,-2.40810496268409,-2.2222443
264,-5.401651658332414,-2.2222443
265,-.1987789523651269,-2.2222443
266,-2.52030187040195,-2.2222443
267,-.5634207440128587,-2.2222443
268,-2.596391110818869,-2.2222443
269,-1.172867197451672,-2.2222443
270,-1.686609420712218,-2.2222443
271,-.3280643221026273,-2.2222443
272,-1.797566873869342,-2.2222443
273,-.3605765239382568,-2.2222443
274,-.0820226330590765,-2.2222443
275,-.7880830326380101,-2.2222443
276,-3.971942578879252,-2.2222443
277,-.3685688249979311,-2.2222443
278,-.0394800045866759,-2.2222443
279,-.6263088463473849,-2.2222443
280,-1.223741340496363,-2.2222443
281,.4118977204868162,-2.2222443
282,-1.638168801413835,-2.2222443
