destination,DFE_logvol
35,-.2450066117085699
45,-.0362131405026123
56,-.2566806339294418
58,-.1087519645470937
60,-.0262171938599428
63,.2002585054230319
64,-.0430648557591443
68,.2713202705869251
71,.7431555914427678
72,-.9132721753575219
74,.2816360946609064
75,-.0674804866364134
76,.1589503412142741
91,.1172688520922431
95,.1319391759542788
96,-.2629233880268081
102,-.1683488922847728
107,.3678372825644963
108,.5429797179131471
110,.0871648459870039
128,-.0330946852278086
139,-.1100816549917126
151,.6147983454399456
160,-.3376148456259944
165,.1592783123923817
166,.1843505594065458
189,.1889774168445993
193,.4431166597244139
195,.5128610624771401
198,-.0723815921219687
199,.1278116954657832
202,.5830034896773514
208,.4143578616537419
209,-.1077532062680088
217,-.0541609632344947
223,.4466188302286522
239,.2898468108057122
242,-.1552682130890354
246,.6145359625489607
252,.2306718279550609
265,-.1419121487522984
279,-.1171891246336654
291,.1938663118470489
306,-.5315909523043681
317,.0898933179743662
320,.2946052414323931
324,-.681062208663216
334,.7249155905600965
335,.0367504290634366
337,-.5480600473750383
345,-.0664735483219684
383,-.3617233224695848
387,-.1129597615244301
388,-.955802275868641
394,-.2985377902927968
398,-.0193887549684765
404,.3848274316833026
409,-.4796685395869924
437,-.141739402882269
438,-.1197740070849331
446,-.579357417522872
455,-.0442753560589439
460,-.3713808281946692
478,-.2564205128094941
486,-.1755427227113611
492,.3931671609670265
495,-.2387794048523951
508,-.2785594069262267
510,.08123998207802
517,.2309866120871882
522,.255777213278881
529,.3840189348840697
534,-.4928268624615283
546,-.6710966153435654
548,-.0338975414470403
562,-.1017871564157811
569,.3050699297599783
578,.0045621992974327
592,-.7005125527344231
596,.5202685655570747
599,-.4612647297647898
601,.7894258358201839
602,-.1509526421522256
607,.5247250262209046
615,.0663319196522394
617,-.0664008556600805
623,-.40283072764729
627,.1009135667083376
641,.0962223694257554
644,.3655416664488655
656,.1857663752047006
671,.020519576143279
679,.426606934313868
684,.8497980732811423
686,-.238402439292695
688,-.1862736869920519
701,.8441065694811593
711,-.2399988909800666
717,.2997341975423947
718,.3497634961410286
736,.2981147943266991
742,.0222894928479112
771,.0559927279099456
774,.1779305450685736
783,.2050671062593806
785,.1753436858989236
790,-.2701584846944222
795,.1451781824572007
798,-.283889427361252
812,.2362615349149995
826,.0397008721000026
830,-.0168962538438282
841,-.2918167847226172
879,.1165699580029531
883,-.4414169936981162
886,.3142505468504
900,.1070430290182544
911,-.255485673768488
924,-.5147110291767296
928,.3407279610504599
929,.1936794921811106
931,.2156146689986144
962,-.0452091896805836
965,-.3096088897962406
976,-.2053600802825486
980,-.172565578923438
982,.3330384296887251
1056,-.0215196253953223
1074,.1923930958814933
1078,.0803886993072489
1098,.094418288582053
1137,-.0429109440414218
1163,-.2726791890288984
1171,.1149021918514035
1214,-.3135620052596399
1292,.3181264882535322
1346,.4121529255119067
1410,-.0240163862295409
1433,-.1112617595829847
1459,.7561980505123875
33,-.0050275239455498
99,-.2770132509078415
125,-.0101686764508513
255,-.30067236082657
427,.34654846050282
468,.0634724539449246
519,-.4252996667082747
557,-.3654451223977523
667,.2411394980092138
682,.5194303170905742
732,.0582110084357423
810,-.4740583281509538
819,-.4074844175927753
848,-.4685813466854234
1241,-.0025673144836697
1286,.2549483615235107
80,.202122309027162
126,.2254333423416864
133,.2305113280298118
144,-.5785119257034634
146,-.2938852369464288
153,.2445905190760461
173,.5186026891663417
180,.57833681220629
261,.1726673768810097
266,-.7569017160166247
283,-.0884559123373043
393,.2160488261208831
458,-.2299021203611223
480,.0705431614290804
498,.2778918972098636
502,-.5971145642627648
574,.1599251669625163
577,-.1942533793948987
636,.0258759611570769
740,.1468582524394809
765,-.0303187370795476
832,-.2391280833553863
913,.2193292304314707
1373,.2576635323291888
78,-.1475985747000945
164,.0300842320084407
226,-.0879645238108662
231,-.2104694691837382
251,-.6233280946369149
292,.0026640501224929
355,-.1243720089257289
389,-.0247372207765138
417,.0699248060641918
639,-.6071550959549352
704,.0676579645502762
1018,.1869198899858407
1039,-.4313023232262059
1173,-.3157510411364991
1187,.138138912897537
1230,.5818811918567049
82,.3274590693681941
124,.1656706946757824
135,.1550795392143157
247,-.0652380103597223
248,.5743108446293653
309,-.3630930659362709
342,.2192806463412927
350,.4212435843245295
448,-.2659885739892038
536,-.3598429736158718
561,-.2640448083224856
579,.0523806445120623
584,-.1457996240058054
620,-.2523007591897227
694,-.2320418354445446
722,.29835394429596
728,.2236754005973352
734,.0257214856795127
743,-.0016563543853255
744,-.2033466939097019
803,-.2430038569279826
849,.1998886795188628
864,-.3252830450289636
898,-.3627973534032215
905,-.2475599426732611
927,-.0865262180262067
981,.0022997601738583
1151,.6776270259745292
1159,-.2085544750127249
1183,.0829849647046291
1238,-.4521664076951016
1283,-.1276285494193222
1416,-.1924952674042579
92,.6117009667146274
100,.537623011565832
103,-.6526451913341187
109,-.4265284079394215
116,.1825467620952159
123,.112513002453861
141,-.276391893315833
155,.4200714147863132
156,.2818578192133479
158,.6490921973403001
168,.3443762981132611
176,.1703663432403907
190,.098663737485295
191,.0756276166869062
192,-.1340000871050651
227,.2815568482382201
243,.2404244974785764
269,-.3437077695224383
274,-.1261287311421032
281,.1943211467018117
282,-.3379952243275156
289,.3136822724002649
318,-.289057837705216
333,-.3233070577301195
338,-.1141703287265101
339,-.224550188804275
364,-.3918413171621461
376,-.2898931533342095
386,.0848450567536166
391,.0094495356547045
395,-.020867987224203
397,.3318743376770125
419,-.2009832804760283
436,.0385263853411971
463,-.1291135370501676
481,-.5481268798164086
500,.1589363780089233
565,.0371739514510879
614,-.1473309957124307
621,-.1488486933316479
674,-.2427033173299893
690,-.1088996606595446
697,-.5330982858087635
730,-.4657286924774366
840,-.2874968175909395
857,-.0186327005030595
895,.3973796619138976
937,.2077449665979959
985,-.5012009131824171
1003,.0434380396638479
1228,.4817223164261489
1325,-.1695821373450533
1327,-.110860723941298
1359,.2752806496779443
1422,-.1336182863803965
69,.2714877655478627
154,.3979947466719292
604,.0423952534917651
833,-.2599214102879275
942,-.1130727323292651
1510,-.1643721946928317
77,.0808918207592497
81,.3116499833270781
119,.0694661712805202
130,-.0328140727296245
138,-.0162815558363174
159,.1003059694426353
163,.3521208603528206
183,-.012753096478728
233,-.1686311071813465
235,-.1835803094931869
263,-.4972212013337001
275,-.1863362222807817
285,.3265313428783728
294,.291288928659264
328,-.2903076686723136
366,-.3604101638299904
371,.0215714705906863
378,.0648817762915139
392,-.1493084685102371
442,-.3617727594204397
464,-.4206897081366188
503,-.5358588708164965
567,-.0609928417269525
595,.0432162368074936
605,-.5887910649867033
640,.0908819080352065
645,-.272013116018597
657,.4668279327444217
677,-.3642450059639911
827,-.326763012880058
869,-.3548423118664972
871,-.2053155527676597
910,-.6783173375896339
932,-.2446948306303631
1069,.0453207929187259
1155,-.1626958040394074
1263,.2132662162567576
1425,.4495448460018734
84,-.3685130478289058
89,.2326055044642213
97,-.3670858535829825
98,.0682457293628221
104,-.0457058867042537
106,-.3708108130948219
111,.0752590952044215
114,.7081871810166742
127,-.0179046516165889
137,.4488424563181342
147,-.3983531240307621
150,.1894076865847766
161,-.271606777727803
170,-.2756120502175494
171,.3570567658501899
175,-.2155599605135085
186,-.3951662831810678
197,-.061293162576977
200,-.1694494956418893
204,.1802186490847945
207,-.3455189895297622
214,-.2150927275102024
215,-.1817774678826229
219,-.3803787309248422
220,.0047326095744659
222,-.3676425619241981
224,-.1804058378304893
230,-.3282493633721165
241,.0018609984732936
244,-.3879814007752571
262,.1294831524245663
277,.0493840995724533
278,-.1262120976347815
295,-.3564408601870714
299,-.0692847019017669
322,-.0102850708391892
327,-.0848862073302947
331,-.0829367156219447
341,.0116735875256595
360,.0945761737815569
372,-.4357112998580895
373,-.5686166320502576
374,.4216865186770477
379,-.1419230307220067
384,-.1331120277777794
396,.1714709010293366
399,-.339894338060267
420,-.7204856158832216
431,-.2658638833618119
432,-.4770571006254019
433,-.1087048616539601
434,-.0329294905136431
487,.5467909129421937
494,-.5810763231395805
512,-.2357845636845248
513,.2996666463866362
531,-.3401233188731146
535,.3954348113903615
538,-.1103687197626444
539,-.2707743406143294
543,-.2850251433111656
551,-.2372240074978537
558,.2757949030537656
582,-.0366320550855048
590,.3755813249442077
600,.2902552496384651
603,-.2000798790012234
616,-.1014776497097773
631,-.4375566137985809
635,.2817566607875847
642,-.1104683332229374
652,-.3023289650549833
685,.0993842495365587
696,-.5696481148609782
708,-.1558880022354698
715,-.2037764647904027
805,-.0210927362682721
806,-.8128399014199105
838,.1099357506427504
852,-.3487948666354206
855,-.6983378991316009
891,.4907898405073279
906,-.2436977616707526
918,-.3253260519864369
944,-.26304693834404
966,-.0211435349497002
968,.27118017639583
988,-.4234292264744868
1002,-.4224248368974464
1022,.1016767782687232
1040,-.2230443487732529
1059,-.2123856050690148
1101,-.0684925900547319
1206,.5216542198958224
1221,-.2924069336603262
1237,.2615363043195651
1246,-.5643484458203571
1280,.2785283997145253
1287,-.113990942417774
1334,-.2042176678646317
1352,-.3368973884650912
1375,-.0297259064536999
1385,.3103377262393766
1399,.2783194263281851
1476,.4847276767974975
1480,.2362942977586376
1507,.6718146174492363
1515,.3413237613029012
1539,-.0389534502441651
1570,-.0222953368194157
88,-.2113525449002514
94,-.0777627922082691
101,.1955628806352614
113,-.5036262129699535
117,-.567270542565775
122,-.3837113979651288
140,-.4120981486739316
179,.0250066347789329
182,-.0231511931358645
185,-.3571182494664495
187,-.0311247796197167
196,-.3816916453259742
218,.3242081697380321
237,-.0683784943056507
250,-.533840200361193
254,.5038154904380622
267,-.2785785625205796
271,-.1801127403615834
272,-.6119860552393137
280,-.3634546148740848
298,-.1296284470731242
301,.0161520739790285
305,-.1391809150545678
307,-.260471656332925
315,.0079024731486322
332,-.7069360750627012
340,-.5780375329455906
351,-.2646901648598275
353,-.2157011712288887
358,-.3178261264668409
359,-.0800717093966478
363,.0462229482783446
368,.1379170231767427
385,-.3296785117998547
390,-.5611130384434159
418,-.2576476080874738
426,.0420099133323036
429,-.2172748359285373
435,-.2951095520199612
453,-.2602355272535629
456,.2503702723318616
459,-.1702424931052533
469,-.5683743992264517
473,-.196042494837481
479,-.393956941627029
482,-.3805197351908946
488,-.2099597228570105
493,-.5408838180738191
520,-.2423563161751176
532,-.1526144602347823
533,-.4195186129080941
540,-.1343664626947775
553,-.4778556608203536
570,-.163732852993845
594,-.2045977022053245
624,.0940825863165745
626,-.2937405816279937
637,.0324495131998345
638,-.0084695545341039
648,-.7308695070826274
651,.043520678477061
659,.2401877172971759
668,-.3737188125627725
670,.229574263548901
676,-.3133815930742735
678,.7066068307204803
691,-.266087394622474
705,-.2186873010572817
716,-.5576898400260614
724,-.3746854221649806
725,-.4134818649030585
753,-.1337740187586747
755,-.6768696336310726
758,.1384615924670801
761,-.2587063429294723
763,-.5326055146737291
764,.4004275371244264
769,-.059313326165657
770,-.2123252531013786
773,.1099519439154501
784,-.4250153068132482
786,-.0866754692792653
800,-.0067031052941897
821,.4450411046359427
828,.19505554868569
829,.0271786430279755
866,-.1839527669988189
874,-.1727815825930976
877,-.5596496579939281
878,.3380128104078959
880,.1267236366359107
902,-.0615736595566213
907,.3026905602000754
912,-.1705215422500908
922,-.3863436233965605
930,.0673736523843215
946,.1811469534711473
951,-.3551798474024956
959,.2067106840670189
964,-.4498306452766262
971,.0507728184473981
1001,.1230581209863851
1025,-.3265615933730897
1032,.316416423462175
1035,-.0448367761090137
1037,.2045498588930933
1054,-.1731441896581594
1064,-.0276390916967467
1070,-.3054818607611404
1073,-.1990504975402329
1079,-.2177820338211938
1104,.0555597480420279
1112,.3791130184609547
1114,-.1196583075997304
