103,2351
1402,1700
1403,1700
1404,1700
1405,1393
1406,1393
1407,1393
1408,1774
1409,1774
1410,1774
1411,1598
1412,1598
1413,1598
1414,1595
1415,1595
1416,1595
1417,1553
1418,1553
1419,1553
1420,1814
1421,1814
1422,1814
1423,1524
1424,1524
1425,1524
1426,1484
1427,1484
1428,1484
1429,1223
1430,1223
1431,1223
1435,1229
1436,1229
1437,1229
1438,1405
1439,1405
1440,1405
1441,1376
1442,1376
1443,1376
1444,1405
1445,1405
1446,1405
1453,1485
1454,1485
1455,1485
1456,1335
1457,1335
1458,1335
1464,1492
1465,1492
1466,1492
1467,1492
1468,1492
1469,1492
1473,1404
1474,1404
1475,1404
1476,1492
1482,1745
1483,1745
1484,1745
1503,1468
1504,1468
1505,1468
1506,1468
1507,1468
1508,1468
1512,1652
1513,1652
1514,1652
1518,1613
1519,1613
1520,1613
1524,1613
1525,1613
1526,1613
1530,1517
1531,1517
1532,1517
1533,1517
1534,1517
1535,1517
1548,1580
1549,1580
1550,1580
1554,1328
1555,1328
1556,1328
1560,1699
1561,1699
1562,1699
1575,1291
1576,1291
1577,1291
1578,934
1579,934
1580,934
1581,1106
1582,1106
1583,1106
1584,934
1585,934
1586,934
1587,1071
1588,1071
1589,1071
1590,1363
1591,1363
1592,1363
1593,1007
1594,1007
1595,1007
1596,1121
1597,1121
1598,1121
1599,1613
1600,1363
1601,1485
1602,1485
1603,1485
1604,1328
1605,1328
1606,1328
1607,1699
1608,1699
1609,1699
1610,1699
1611,1393
1612,1393
1613,1393
2000,57
2001,57
2002,57
2003,132
2004,132
2005,132
2006,2
2007,2
2008,1341
2009,1341
2010,1341
2011,1341
2012,29
2013,29
2014,29
2016,892
2017,892
2018,892
2019,892
2020,66
2021,479
2022,134
2023,26
2024,26
2025,26
2026,36
2027,36
2028,25
2029,25
2030,22
2031,22
2032,27
2033,27
2034,27
2035,246
2036,73
2037,73
2038,606
2039,745
2040,745
2041,745
2043,759
2045,54
2046,54
2047,54
2501,1209
3405,2654
3406,2654
3407,2654
3411,2672
3412,2672
3413,2672
3414,2672
3415,2672
3416,2672
3417,2706
3418,2706
3419,2706
3420,2706
3421,2706
3422,2706
3423,2854
3424,2854
3425,2854
3426,2854
3427,2854
3428,2854
3429,2874
3430,2874
3431,2874
3432,2865
3433,2865
3434,2865
3435,2874
3436,2874
3437,2874
3438,2875
3439,2875
3440,2875
3441,2665
3442,2665
3443,2665
3444,2875
3445,2875
3446,2875
3447,2905
3448,2905
3449,2905
3450,2774
3451,2774
3452,2774
5401,420
5402,644
5403,644
5404,644
5405,688
5406,688
5407,688
5408,704
5409,704
5410,704
5414,792
5415,792
5416,792
5417,674
5418,674
5419,674
5420,623
5421,623
5422,623
5423,905
5424,905
5425,905
5426,905
5427,905
5428,905
5429,619
5430,619
5431,619
5432,510
5433,510
5434,510
5435,519
5439,35
5440,35
5444,866
5445,866
5446,866
5447,879
5448,772
5449,772
5450,772
5451,102
5452,592
5453,886
5454,58
5456,729
5457,729
5458,729
5459,729
5460,729
5461,729
5462,991
5463,991
5464,991
6401,156
6402,156
6403,209
6404,209
6405,397
6406,397
6407,397
6408,488
6409,488
6410,488
6411,252
6412,252
6413,252
6414,427
6415,427
6416,427
6417,202
6418,458
6419,458
6420,458
6421,458
6422,504
6423,504
6424,504
6425,504
6426,504
6427,504
6428,173
6429,173
6430,173
6431,173
6432,173
6433,173
6434,434
6435,434
6436,434
6437,434
6438,434
6439,434
6440,278
6441,278
6442,278
6443,278
6444,278
6445,278
6446,198
6447,198
6448,198
6449,198
6450,198
6451,198
6452,194
6459,271
6460,271
6461,271
6462,180
6464,288
6901,145
6902,148
6903,148
6904,148
6905,162
6906,162
6907,168
6908,181
6909,181
6910,182
6911,153
6912,153
6915,85
6916,85
6917,172
6918,172
6919,88
6920,88
